Year,State,Source,Vtype,Fuel,Occ,Distance,CO2,CO2_Equiv,CO,ElementC_PM25,NO2,NO,N2O,OrganicC_PM25,NOx,Total_PM10,Total_PM25,Brake_PM10,Tire_PM10,Brake_PM25,Tire_PM25,Sulfate_PM25,SO2,TotalEnergy,VOC
2020,11,31,Private vehicle,1,2,38241244,478.1504568,482.0239643,4.75514238,0.002154349,0.032909285,0.307845555,0.010897057,0.002680431,0.343502816,0.006768007,0.005987096,0.040638871,0.010179036,0.005079856,0.001526859,0.000147249,0.003176387,6653.298967,0.31868184
2020,11,31,Private vehicle,2,2,1463155,627.5270522,628.9708582,2.638488745,0.064325379,0.283546856,1.667127543,0.00324846,0.017069962,1.966405473,0.097441488,0.089645321,0.044285807,0.012843479,0.005535982,0.001926658,0.001813205,0.00214263,8519.107097,0.371087137
2020,11,31,Private vehicle,5,2,95734,454.1874778,457.0409259,3.129619571,0.001786199,0.011208139,0.088630998,0.006507615,0.001483277,0.10064345,0.004408047,0.003896212,0.040549857,0.01011135,0.005066121,0.001514613,0.000104456,0.003499279,6385.017152,0.185670713
2020,11,32,Truck,1,2,4814910,505.8604045,509.9765254,5.389884754,0.002194434,0.03640608,0.309379407,0.011430951,0.00322249,0.348574117,0.007767539,0.006871364,0.041504826,0.010503208,0.005188051,0.001575523,0.000215996,0.003360395,7038.873632,0.295396799
2020,11,32,Truck,2,2,264584,713.8252956,715.6768966,2.534253772,0.076871617,0.41389502,2.092605751,0.003756841,0.020299791,2.526713633,0.117074351,0.107708705,0.044961147,0.013371935,0.005620143,0.002006924,0.002891331,0.002437789,9690.664893,0.402787017
2020,11,32,Truck,5,2,16641,454.5508683,457.1874286,2.967489934,0.001622499,0.008232678,0.069767442,0.006009254,0.001322036,0.078601046,0.003966108,0.003485367,0.040923021,0.010035455,0.005107866,0.001502314,0.000120185,0.003485367,6390.124632,0.159125053
2020,11,52,Truck,1,2,515890,1221.569683,1238.040419,11.77967008,0.005536064,0.049900173,0.714927601,0.048940666,0.012789548,0.770995755,0.026821609,0.023725988,0.087361647,0.015319157,0.010920933,0.002297001,0.000480723,0.008114133,16997.72314,1.174426719
2020,11,52,Truck,2,2,1868696,1201.1115,1204.454563,1.841117549,0.052106924,0.799814951,2.336050915,0.006379315,0.028021144,3.161155158,0.104727575,0.096349005,0.145235501,0.019359489,0.018154371,0.002904164,0.005684713,0.004046672,16305.90579,0.313876628
2020,11,52,Truck,3,2,21320,1799.217448,2407.81257,26.36017824,0.000984991,0.164493433,1.11988743,0.339681051,0.003424015,1.294746717,0.010365854,0.009193246,0.253377111,0.020028143,0.031660413,0.003001876,9.38E-05,0.009521576,30477.98874,0.823686679
2020,11,53,Truck,1,2,36031,1120.83306,1125.871611,7.84579945,0.002386834,0.037967306,0.443978796,0.013765924,0.008326164,0.485831645,0.016347034,0.014459771,0.064555522,0.013904693,0.008076379,0.002081541,0.0003608,0.007438039,15596.00655,0.745857734
2020,11,53,Truck,2,2,131340,1070.967809,1072.734826,1.453319628,0.040437034,0.626557028,1.823960713,0.00395919,0.020861885,2.470283234,0.080234506,0.07381605,0.106517436,0.017542257,0.013316583,0.002634384,0.00467489,0.00360134,14539.11692,0.202337445
2020,11,53,Truck,3,2,1553,1577.553123,2026.338699,23.22923374,0.000643915,0.134578236,0.91629105,0.09658725,0.00257566,1.05924018,0.008370895,0.007083065,0.184159691,0.01802962,0.02318094,0.00257566,0,0.008370895,26723.09079,0.679974243
2020,11,61,Truck,1,2,10,1692,1717.2,145.2,0,0.4,6.7,0,0,7.2,0.1,0.1,0.1,0,0,0,0,0,23543.7,8.1
2020,11,61,Truck,2,2,613047,1865.570764,1867.627794,2.633975862,0.080651239,1.649734849,4.099804746,0.003883878,0.027653671,5.79590635,0.140449264,0.129211953,0.174479281,0.030279897,0.021809095,0.004541251,0.010560365,0.006268687,25326.39415,0.297137087
2020,11,61,Truck,3,2,16533,1751.410028,2191.021351,25.54672473,0.000786306,0.119216113,0.811770399,0.113651485,0.002721829,0.938547148,0.008286457,0.007318696,0.144801306,0.018206012,0.018085042,0.002721829,6.05E-05,0.009254219,29668.14976,0.653783342
